Order ID,Order Date,Ship Date,Ship Mode,Order Priority
MX-2014-KB1658582-41829,7/9/2018,7/15/2018,Standard Class,Medium
MX-2012-DL1333031-41106,7/16/2016,7/20/2016,Standard Class,High
ES-2014-NF183858-41970,11/27/2018,11/29/2018,First Class,High
IN-2013-NZ185657-41606,11/28/2017,12/2/2017,Second Class,Medium
US-2013-BG1174082-41445,6/20/2017,6/26/2017,Standard Class,Medium
ES-2014-MZ1733545-41885,9/3/2018,9/5/2018,Second Class,High
CG-2014-HM498033-41846,7/26/2018,8/1/2018,Standard Class,Low
IN-2015-RW195407-42327,11/19/2019,11/25/2019,Standard Class,Low
ES-2012-BM1114048-41174,9/22/2016,9/27/2016,Second Class,Medium
MX-2015-SC2009528-42294,10/17/2019,10/22/2019,Standard Class,Medium
SA-2015-GM4440110-42237,8/21/2019,8/26/2019,Standard Class,Medium
ES-2012-PO1886545-41217,11/4/2016,11/8/2016,Second Class,High
US-2012-AS10045140-41116,7/26/2016,8/1/2016,Standard Class,Medium
US-2015-SS2051555-42081,3/18/2019,3/18/2019,Same Day,Medium
MX-2012-JH1582039-41163,9/11/2016,9/17/2016,Standard Class,Medium
IT-2014-VM2168591-41711,3/13/2018,3/13/2018,Same Day,High
CA-2014-AS10045140-41727,3/29/2018,4/1/2018,First Class,Medium
ES-2013-DM1352548-41369,4/5/2017,4/5/2017,Same Day,High
ES-2012-RR1931564-40940,2/1/2016,2/5/2016,Standard Class,Medium
IN-2014-LC168857-41747,4/18/2018,4/19/2018,First Class,Critical
IN-2013-JE157157-41524,9/7/2017,9/9/2017,Second Class,High
NI-2015-BP118595-42365,12/27/2019,12/29/2019,Second Class,Medium
ES-2014-EM1406548-41775,5/16/2018,5/20/2018,Second Class,High
CA-2012-PK18910140-41002,4/3/2016,4/8/2016,Standard Class,High
US-2013-CD1198036-41604,11/26/2017,11/30/2017,Standard Class,High
IT-2012-AH10030139-41118,7/28/2016,7/31/2016,First Class,Medium
IN-2014-CM121157-41913,10/1/2018,10/2/2018,First Class,High
US-2015-RB1943555-42294,10/17/2019,10/21/2019,Standard Class,High
CA-2013-KN16390140-41507,8/21/2017,8/25/2017,Standard Class,High
ID-2014-JK153257-41984,12/11/2018,12/14/2018,Second Class,Critical
ID-2014-XP2186592-41786,5/27/2018,5/29/2018,Second Class,High
IN-2015-DW1354078-42357,12/19/2019,12/20/2019,First Class,Critical
IN-2014-RH195107-41963,11/20/2018,11/24/2018,Standard Class,Medium
US-2014-AB10060140-41712,3/14/2018,3/19/2018,Standard Class,Medium
CA-2015-AB10060140-42315,11/7/2019,11/14/2019,Standard Class,Low
MX-2015-MH1729028-42110,4/16/2019,4/21/2019,Standard Class,Medium
IN-2015-SH1997527-42344,12/6/2019,12/12/2019,Standard Class,Medium
CA-2015-LC16870140-42342,12/4/2019,12/7/2019,Second Class,High
IN-2015-JK1612059-42204,7/19/2019,7/23/2019,Standard Class,High
CA-2013-LC16960140-41609,12/1/2017,12/6/2017,Standard Class,Medium
ES-2014-HR14830139-41875,8/24/2018,8/30/2018,Standard Class,Medium
IN-2013-PM1894059-41284,1/10/2017,1/14/2017,Standard Class,High
MX-2014-AT1043582-41667,1/28/2018,1/30/2018,First Class,Medium
ID-2013-AB1001527-41439,6/14/2017,6/17/2017,First Class,Critical
US-2012-LT17110140-41060,5/31/2016,6/5/2016,Standard Class,High
MX-2015-MC1763518-42164,6/9/2019,6/13/2019,Standard Class,High
MX-2013-PV1898518-41614,12/6/2017,12/8/2017,First Class,High
IT-2014-SB2029064-41887,9/5/2018,9/7/2018,Second Class,High
CA-2013-MC17275140-41346,3/13/2017,3/15/2017,First Class,Critical
CA-2014-AB10060140-41884,9/2/2018,9/4/2018,First Class,Critical
IN-2013-KH1633059-41489,8/3/2017,8/8/2017,Standard Class,High
IN-2015-MP181757-42347,12/9/2019,12/11/2019,First Class,High
IN-2013-LH1702027-41572,10/25/2017,10/28/2017,First Class,Critical
CA-2015-AB10060140-42132,5/8/2019,5/13/2019,Standard Class,Medium
ID-2014-CR126257-41878,8/27/2018,8/29/2018,Second Class,High
IN-2012-NC1862511-41041,5/12/2016,5/16/2016,Standard Class,High
ID-2015-JE157457-42180,6/25/2019,6/30/2019,Standard Class,Medium
ES-2015-RA1994545-42218,8/2/2019,8/3/2019,First Class,Critical
ES-2012-DB1306048-41171,9/19/2016,9/21/2016,Second Class,Critical
IN-2015-HJ1487558-42203,7/18/2019,7/25/2019,Standard Class,Medium
ID-2012-TT21265102-41271,12/28/2016,1/2/2017,Standard Class,Medium
CA-2015-MG17680140-42277,9/30/2019,9/30/2019,Same Day,High
MX-2014-KC1654036-41866,8/15/2018,8/19/2018,Second Class,High
ES-2014-LH1715564-41797,6/7/2018,6/11/2018,Standard Class,Medium
CA-2014-AB10060140-41881,8/30/2018,9/4/2018,Standard Class,Medium
IN-2015-GH1466527-42302,10/25/2019,11/1/2019,Standard Class,Medium
IT-2013-TS21655124-41523,9/6/2017,9/10/2017,Standard Class,Medium
ES-2014-DK12835120-41651,1/12/2018,1/15/2018,First Class,Medium
IR-2015-CS250560-42249,9/2/2019,9/5/2019,First Class,Medium
TU-2014-MK7905134-41985,12/12/2018,12/19/2018,Standard Class,Medium
IN-2015-RF1934521-42183,6/28/2019,7/3/2019,Standard Class,Medium
CA-2013-AB10060140-41535,9/18/2017,9/24/2017,Standard Class,Medium
IN-2012-PW19030113-41192,10/10/2016,10/16/2016,Standard Class,Medium
TU-2013-VF11715134-41373,4/9/2017,4/15/2017,Standard Class,Medium
ES-2012-BP11155139-41130,8/9/2016,8/16/2016,Standard Class,Medium
ID-2015-AA10480130-42080,3/17/2019,3/21/2019,Standard Class,High
ID-2014-RL196157-41641,1/2/2018,1/3/2018,First Class,Medium
ID-2014-JH1618059-41969,11/26/2018,12/1/2018,Standard Class,Medium
ID-2013-SW2024559-41557,10/10/2017,10/11/2017,First Class,High
MX-2015-AR1082531-42312,11/4/2019,11/8/2019,Standard Class,Medium
CA-2014-NF18385140-41870,8/19/2018,8/21/2018,First Class,Critical
ES-2015-YC21895139-42097,4/3/2019,4/5/2019,First Class,High
MX-2012-JM1558082-41045,5/16/2016,5/19/2016,Second Class,High
BO-2015-MZ733513-42046,2/11/2019,2/15/2019,Second Class,High
ES-2014-JF15295120-41924,10/12/2018,10/12/2018,Same Day,Critical
CA-2015-AB10060140-42264,9/17/2019,9/22/2019,Standard Class,High
CA-2014-NR18550140-41930,10/18/2018,10/21/2018,First Class,Critical
AO-2014-MM79204-41956,11/13/2018,11/17/2018,Standard Class,Medium
IT-2012-TC2129545-41058,5/29/2016,6/1/2016,First Class,Critical
CA-2015-AB10060140-42314,11/6/2019,11/8/2019,First Class,High
IN-2015-CP1234058-42202,7/17/2019,7/20/2019,First Class,Medium
TU-2013-LH7020134-41324,2/19/2017,2/23/2017,Standard Class,High
IN-2013-NC183407-41634,12/26/2017,12/26/2017,Same Day,Critical
ES-2015-KB16600120-42186,7/1/2019,7/5/2019,Standard Class,Medium
ID-2014-JS1603059-41760,5/1/2018,5/4/2018,Second Class,Critical
CA-2015-PS19045140-42099,4/5/2019,4/11/2019,Standard Class,Medium
IN-2015-JF1519021-42341,12/3/2019,12/7/2019,Standard Class,High
AG-2012-TT110703-41133,8/12/2016,8/17/2016,Second Class,Medium
ES-2014-JG15160139-41660,1/21/2018,1/24/2018,Second Class,Medium
CA-2015-AH10075140-42301,10/24/2019,10/25/2019,First Class,Critical
IN-2015-AG1033059-42197,7/12/2019,7/14/2019,Second Class,Critical
CA-2014-RH19510140-41836,7/16/2018,7/22/2018,Standard Class,Medium
UP-2015-RE9450137-42253,9/6/2019,9/7/2019,First Class,High
US-2013-RR19525140-41613,12/5/2017,12/8/2017,First Class,Medium
CA-2014-RC19825140-41654,1/15/2018,1/15/2018,Same Day,Critical
ES-2012-NB1865548-41194,10/12/2016,10/12/2016,Same Day,Critical
US-2014-RC19960140-41905,9/23/2018,9/29/2018,Standard Class,Medium
IN-2015-TA213857-42351,12/13/2019,12/17/2019,Standard Class,Medium
CA-2014-AH10075140-41898,9/16/2018,9/21/2018,Standard Class,Medium
ID-2015-SC20380102-42165,6/10/2019,6/11/2019,First Class,High
SF-2012-PA9060117-40954,2/15/2016,2/16/2016,First Class,Critical
CA-2012-SC20095140-41174,9/22/2016,9/27/2016,Standard Class,Medium
MX-2015-SC2072526-42362,12/24/2019,12/31/2019,Standard Class,Low
CA-2015-AH10075140-42110,4/16/2019,4/19/2019,First Class,Medium
US-2015-NR1855036-42130,5/6/2019,5/11/2019,Standard Class,Medium
ID-2012-NW1840059-41255,12/12/2016,12/18/2016,Standard Class,Medium
CA-2012-SH20395140-41215,11/2/2016,11/6/2016,Standard Class,Medium
ES-2015-FP1432045-42159,6/4/2019,6/7/2019,Second Class,Medium
CA-2015-AH1007523-42101,4/7/2019,4/12/2019,Standard Class,High
IN-2015-TB216257-42320,11/12/2019,11/19/2019,Standard Class,Medium
CA-2013-SN20710140-41605,11/27/2017,12/1/2017,Standard Class,Medium
ID-2012-CA1196566-40949,2/10/2016,2/15/2016,Standard Class,Medium
CA-2015-SP20860140-42276,9/29/2019,10/3/2019,Standard Class,High
CA-2012-TT21070140-41046,5/17/2016,5/19/2016,Second Class,Critical
IN-2014-KS163007-41912,9/30/2018,10/3/2018,First Class,Critical
CA-2015-TS21205140-42171,6/16/2019,6/21/2019,Standard Class,Medium
UP-2013-BE1410137-41440,6/15/2017,6/15/2017,Same Day,Medium
MX-2015-BD1150080-42158,6/3/2019,6/7/2019,Second Class,High
IN-2015-DK1309027-42308,10/31/2019,11/3/2019,First Class,High
IN-2014-JL1583527-41845,7/25/2018,7/30/2018,Standard Class,Medium
BN-2015-TS1143015-42251,9/4/2019,9/9/2019,Standard Class,Medium
IN-2015-CR1282058-42294,10/17/2019,10/21/2019,Standard Class,High
CA-2014-XP21865140-41947,11/4/2018,11/9/2018,Standard Class,Medium
IN-2015-JM15265102-42316,11/8/2019,11/10/2019,First Class,High
IT-2012-SW2035048-40996,3/28/2016,4/3/2016,Standard Class,Medium
IN-2015-BP11290113-42269,9/22/2019,9/25/2019,Second Class,Critical
IT-2012-RB1933045-41080,6/20/2016,6/23/2016,First Class,High
CA-2015-AH10075140-42273,9/26/2019,9/29/2019,First Class,Medium
CA-2015-AH10075140-42144,5/20/2019,5/25/2019,Second Class,Medium
SF-2015-AB10060117-42334,11/26/2019,11/29/2019,Second Class,Critical
EG-2013-JR567038-41363,3/30/2017,4/1/2017,First Class,Critical
MX-2012-MD1735028-41222,11/9/2016,11/14/2016,Second Class,Medium
TU-2013-CP2085134-41363,3/30/2017,4/3/2017,Standard Class,High
IN-2012-HA1490527-41188,10/6/2016,10/9/2016,First Class,Medium
CA-2014-AH10075140-41991,12/18/2018,12/22/2018,Standard Class,Medium
CA-2014-AH10075140-41817,6/27/2018,6/27/2018,Same Day,Critical
ID-2013-FM1438059-41417,5/23/2017,5/27/2017,Standard Class,High
AJ-2014-JL58359-41662,1/23/2018,1/27/2018,Standard Class,High
IN-2012-EP1391559-41049,5/20/2016,5/24/2016,Second Class,High
ES-2015-MS17770139-42275,9/28/2019,10/1/2019,First Class,High
IT-2012-CM1265545-41218,11/5/2016,11/7/2016,First Class,Critical
ES-2015-BG11740139-42238,8/22/2019,8/25/2019,Second Class,Medium
IN-2015-GB145307-42260,9/13/2019,9/19/2019,Standard Class,Medium
CA-2015-AH10075140-42335,11/27/2019,12/1/2019,Standard Class,Medium
ES-2014-MT1807064-41690,2/20/2018,2/27/2018,Standard Class,Medium
EG-2014-MT807038-41675,2/5/2018,2/7/2018,Second Class,Critical
IN-2014-BD1162058-42004,12/31/2018,1/4/2019,Standard Class,Medium
CA-2014-RD19585140-41966,11/23/2018,11/27/2018,Standard Class,Medium
LT-2012-CV280572-41025,4/26/2016,4/29/2016,First Class,High
IN-2012-NH1861092-41187,10/5/2016,10/10/2016,Standard Class,High
ID-2014-HJ1487527-41875,8/24/2018,8/26/2018,Second Class,Critical
MX-2013-SW2027536-41587,11/9/2017,11/14/2017,Standard Class,Medium
MX-2015-MY1829593-42355,12/17/2019,12/19/2019,First Class,Critical
CA-2012-AH10075140-41228,11/15/2016,11/21/2016,Standard Class,Medium
CA-2013-AH10075140-41629,12/21/2017,12/23/2017,Second Class,High
IN-2015-BM1178527-42329,11/21/2019,11/26/2019,Standard Class,High
IN-2013-DS13030102-41458,7/3/2017,7/7/2017,Standard Class,High
IN-2013-RM1975058-41444,6/19/2017,6/21/2017,Second Class,High
ES-2012-CH1207048-41166,9/14/2016,9/18/2016,Standard Class,Medium
ES-2013-MT1781545-41599,11/21/2017,11/24/2017,Second Class,Critical
ES-2015-FW1439545-42069,3/6/2019,3/8/2019,First Class,Critical
ES-2013-BH1171048-41478,7/23/2017,7/28/2017,Standard Class,High
ID-2015-DK1289559-42315,11/7/2019,11/9/2019,First Class,High
MX-2015-KD1627018-42330,11/22/2019,11/24/2019,First Class,Critical
ES-2012-SC208458-41070,6/10/2016,6/13/2016,First Class,High
MX-2015-EM1420018-42073,3/10/2019,3/11/2019,First Class,Critical
IN-2012-HL150407-41237,11/24/2016,11/24/2016,Same Day,Critical
IN-2015-PF1916558-42093,3/30/2019,3/31/2019,First Class,High
ES-2014-CC12370139-41718,3/20/2018,3/23/2018,Second Class,High
LT-2014-GR456072-42003,12/30/2018,1/4/2019,Standard Class,Medium
IN-2013-TT2107058-41551,10/4/2017,10/9/2017,Standard Class,High
IT-2013-PO19195120-41492,8/6/2017,8/7/2017,First Class,Critical
ES-2014-MC181008-41977,12/4/2018,12/9/2018,Standard Class,Medium
IN-2015-AP1091559-42089,3/26/2019,3/29/2019,First Class,Critical
TU-2012-SJ10125134-41150,8/29/2016,9/2/2016,Standard Class,Medium
MX-2015-ZC2191018-42259,9/12/2019,9/18/2019,Standard Class,Medium
IR-2014-JE616560-41880,8/29/2018,8/31/2018,Second Class,Medium
ES-2015-HJ1487545-42227,8/11/2019,8/17/2019,Standard Class,Medium
RO-2013-SG10605107-41614,12/6/2017,12/6/2017,Same Day,High
IN-2014-MC1727527-41891,9/9/2018,9/11/2018,Second Class,Medium
MX-2015-DK1298565-42096,4/2/2019,4/9/2019,Standard Class,Low
LH-2015-AA48075-42055,2/20/2019,2/23/2019,First Class,Medium
ES-2014-GP1474045-41745,4/16/2018,4/23/2018,Standard Class,Medium
MX-2013-EB1397536-41522,9/5/2017,9/7/2017,First Class,High
IT-2013-JE15475139-41338,3/5/2017,3/10/2017,Standard Class,Medium
MX-2015-KH1636018-42322,11/14/2019,11/18/2019,Second Class,High
US-2012-ML1741036-41213,10/31/2016,11/6/2016,Standard Class,Medium
US-2015-JL15175140-42313,11/5/2019,11/12/2019,Standard Class,Medium
MX-2015-CC1210082-42245,8/29/2019,9/2/2019,Standard Class,High
ID-2015-RD1993092-42140,5/16/2019,5/18/2019,Second Class,High
IV-2015-DH307529-42208,7/23/2019,7/27/2019,Standard Class,Medium
ES-2015-AH106908-42188,7/3/2019,7/8/2019,Standard Class,Medium
IN-2013-EM1381058-41308,2/3/2017,2/7/2017,Second Class,Medium
US-2012-JK15325140-41233,11/20/2016,11/26/2016,Standard Class,Low
IT-2013-JD16060120-41515,8/29/2017,9/1/2017,First Class,Critical
IN-2012-GH1466527-41074,6/14/2016,6/16/2016,First Class,Critical
IN-2015-CM1193527-42244,8/28/2019,8/31/2019,First Class,Medium
ES-2012-SN2056045-40985,3/17/2016,3/19/2016,First Class,Medium
RS-2015-RB9465108-42082,3/19/2019,3/23/2019,Second Class,Medium
MX-2014-EM1382539-41796,6/6/2018,6/11/2018,Standard Class,High
ID-2013-PO191957-41514,8/28/2017,8/28/2017,Same Day,Critical
MO-2012-CS235586-41000,4/1/2016,4/6/2016,Standard Class,High
US-2012-JB15400140-41165,9/13/2016,9/18/2016,Standard Class,Medium
CA-2014-AS10090140-41812,6/22/2018,6/27/2018,Standard Class,High
RO-2015-BN1470107-42318,11/10/2019,11/15/2019,Standard Class,Medium
ES-2012-AB1016545-41180,9/28/2016,10/4/2016,Standard Class,Medium
ES-2013-BD11560139-41327,2/22/2017,2/25/2017,First Class,High
IN-2015-PS1876059-42288,10/11/2019,10/13/2019,Second Class,Critical
US-2015-FM1421551-42115,4/21/2019,4/23/2019,Second Class,Critical
IN-2014-CA1277558-41802,6/12/2018,6/17/2018,Standard Class,Medium
MX-2013-MC1763582-41501,8/15/2017,8/20/2017,Standard Class,Medium
ES-2012-NC1834045-41233,11/20/2016,11/26/2016,Standard Class,Medium
SG-2015-JE5715111-42283,10/6/2019,10/9/2019,Second Class,Medium
MX-2012-AH1012082-41226,11/13/2016,11/19/2016,Standard Class,Medium
IN-2015-KD1649527-42175,6/20/2019,6/26/2019,Standard Class,Low
TU-2014-AJ795134-41800,6/10/2018,6/13/2018,First Class,High
MX-2013-HG1502518-41578,10/31/2017,11/5/2017,Standard Class,Medium
MX-2015-CS1246093-42259,9/12/2019,9/14/2019,First Class,Critical
MX-2013-RR1952531-41430,6/5/2017,6/5/2017,Same Day,Medium
ES-2015-MG1769564-42018,1/14/2019,1/16/2019,First Class,High
ID-2015-VF21715102-42321,11/13/2019,11/15/2019,Second Class,Critical
US-2014-AB1015036-41730,4/1/2018,4/6/2018,Standard Class,Medium
CA-2015-AS10090140-42264,9/17/2019,9/19/2019,First Class,Critical
IT-2013-EM13960104-41625,12/17/2017,12/21/2017,Standard Class,Medium
AO-2012-HZ49504-40916,1/8/2016,1/13/2016,Standard Class,High
ES-2015-MO1780045-42234,8/18/2019,8/23/2019,Second Class,Medium
IN-2014-EM1382566-41850,7/30/2018,7/30/2018,Same Day,Critical
US-2015-AS10090140-42341,12/3/2019,12/6/2019,First Class,Medium
NI-2014-CD192095-41879,8/28/2018,9/3/2018,Standard Class,Low
ES-2014-AD1018048-41658,1/19/2018,1/24/2018,Second Class,Medium
IN-2015-LE16810130-42355,12/17/2019,12/17/2019,Same Day,Medium
IT-2014-CM1193562-41810,6/20/2018,6/27/2018,Standard Class,Low
ID-2014-CS1217559-41849,7/29/2018,8/3/2018,Standard Class,Medium
CA-2015-AS10090140-42096,4/2/2019,4/5/2019,Second Class,High
ES-2015-MB1808545-42049,2/14/2019,2/16/2019,First Class,Critical
CA-2012-AS10090140-41266,12/23/2016,12/25/2016,First Class,High
RO-2013-DB3660107-41503,8/17/2017,8/19/2017,Second Class,Critical
ES-2014-KH1663048-41762,5/3/2018,5/7/2018,Standard Class,Medium
MX-2013-BG1174018-41493,8/7/2017,8/8/2017,First Class,High
MX-2013-PL1892551-41608,11/30/2017,12/4/2017,Standard Class,Medium
CA-2014-AS10090140-41762,5/3/2018,5/7/2018,Standard Class,Medium
IN-2013-KB1631578-41495,8/9/2017,8/11/2017,First Class,Critical
ID-2014-PK190757-41691,2/21/2018,2/22/2018,First Class,High
IN-2013-JH15430144-41615,12/7/2017,12/13/2017,Standard Class,Medium
CA-2014-AS10090140-41894,9/12/2018,9/17/2018,Standard Class,High
TU-2014-BP1185134-41657,1/18/2018,1/19/2018,First Class,High
ID-2014-SP2065097-41977,12/4/2018,12/10/2018,Standard Class,Low
CG-2014-NC834033-41716,3/18/2018,3/23/2018,Standard Class,Medium
IT-2014-MG1789048-41684,2/14/2018,2/19/2018,Standard Class,Medium
BO-2012-RB957013-41233,11/20/2016,11/25/2016,Second Class,Medium
IN-2014-SV2081558-41713,3/15/2018,3/19/2018,Standard Class,Medium
IN-2012-TH212357-41171,9/19/2016,9/26/2016,Standard Class,Medium
ES-2013-TG2164014-41591,11/13/2017,11/17/2017,Standard Class,High
IN-2015-DR1294058-42294,10/17/2019,10/18/2019,First Class,High
NI-2013-AG76595-41564,10/17/2017,10/19/2017,First Class,Medium
ID-2015-JK1537059-42348,12/10/2019,12/15/2019,Standard Class,High
CA-2013-AS10090140-41587,11/9/2017,11/13/2017,Standard Class,Medium
MX-2015-SC2069539-42360,12/22/2019,12/24/2019,First Class,High
ES-2015-DP1339048-42216,7/31/2019,8/4/2019,Standard Class,Medium
TU-2014-SK9990134-41942,10/30/2018,11/5/2018,Standard Class,Medium
ES-2015-CC1210045-42182,6/27/2019,6/27/2019,Same Day,Critical
ES-2013-BG1103544-41468,7/13/2017,7/16/2017,Second Class,Critical
ES-2015-VT2170064-42362,12/24/2019,12/28/2019,Standard Class,Medium
IN-2015-AB101057-42153,5/29/2019,6/5/2019,Standard Class,Low
IN-2015-SV2078559-42110,4/16/2019,4/18/2019,Second Class,High
TU-2012-CT1995134-41208,10/26/2016,11/1/2016,Standard Class,Medium
IN-2012-AS1028558-41221,11/8/2016,11/10/2016,First Class,Critical
SF-2015-MS7830117-42230,8/14/2019,8/20/2019,Standard Class,Medium
ES-2012-DM13345120-41262,12/19/2016,12/24/2016,Standard Class,Medium
